이름,정당,당선횟수,선거구,소속위원회,보좌관,선임비서관,비서관,변경사항,URL,수집일시
이인선,국민의힘,재선,대구 수성구을,"기획재정위원회, 여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회","임효권,조병수","안성완,이화은","김동군,이보배,이상목,김우영,금나윤",,https://www.assembly.go.kr/members/22nd/LEEINSEON,2025-08-11T07:27:13.000
이종욱,국민의힘,초선,경남 창원시진해구,국토교통위원회,"김광수,홍석인","윤종석,주경돈","정동해,이환희,장우성,강동우,주미경","보좌관 변경, 선임비서관 변경",https://www.assembly.go.kr/members/22nd/LEEJONHWOOK,2025-08-11T07:27:15.000
임광현,더불어민주당,정보,정보 없음,정보 없음,,,,"당선횟수 변경, 선거구 변경, 소속위원회 변경, 보좌관 변경, 선임비서관 변경, 비서관 변경",https://www.assembly.go.kr/members/22nd/LIMKWANGHYUN,2025-08-11T07:26:44.000
임이자,국민의힘,3선,경북 상주시문경시,"기후위기 특별위원회, 기획재정위원회","문주현,안재민","박상현,이경원","곽동열,송이달,김영건,이윤수,이현서",,https://www.assembly.go.kr/members/22nd/LIMLEEJA,2025-08-11T07:27:18.000
정성호,더불어민주당,5선,경기 동두천시양주시연천군갑,기획재정위원회,"서준섭,안중언","강유진,권기완","김선진,이경민","보좌관 변경, 선임비서관 변경, 비서관 변경",https://www.assembly.go.kr/members/22nd/JUNGSUNGHO,2025-08-11T07:26:46.000
정일영,더불어민주당,재선,인천 연수구을,"기획재정위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회","김희철,정채훈","고지혜,채수용","윤경민,이세정,최신,허완재",비서관 변경,https://www.assembly.go.kr/members/22nd/CHUNGILYOUNG,2025-08-11T07:26:49.000
정태호,더불어민주당,재선,서울 관악구을,기획재정위원회,"김준하,최기원","김대평,양준호","성하구,임화영,김홍천,김은진,권서현",,https://www.assembly.go.kr/members/22nd/JUNGTAEHO,2025-08-11T07:26:06.000
조승래,더불어민주당,3선,대전 유성구갑,기획재정위원회,"장세형,최종길","권순재,정아름","이정은,김현중,최병집,황인경,이다윤,박진섭","선임비서관 변경, 비서관 변경",https://www.assembly.go.kr/members/22nd/JOSEOUNGLAE,2025-08-11T07:26:14.000
조승래,더불어민주당,3선,대전 유성구갑,기획재정위원회,"장세형,최종길","권순재,정아름","이정은,김현중,최병집,황인경,이다윤,박진섭","선임비서관 변경, 비서관 변경",https://www.assembly.go.kr/members/22nd/JOSEOUNGLAE,2025-08-11T07:26:51.000
진성준,더불어민주당,3선,서울 강서구을,기획재정위원회,"김승현,최완","신하은,임예택","김광운,김정원,이정현,윤효정,서지원",,https://www.assembly.go.kr/members/22nd/JINSUNGJOON,2025-08-11T07:26:54.000
차규근,조국혁신당,초선,비례대표,"기획재정위원회, 산불피해지원대책 특별위원회","김진욱,이대원","이석규,임주연","김꽃임,김인태,이화진,유현민,변지원",,https://www.assembly.go.kr/members/22nd/CHAGYUGEUN,2025-08-11T07:27:22.000
천하람,개혁신당,초선,비례대표,"기획재정위원회, 예산결산특별위원회","강은규,강지은","김민상,박성훈","정사영,황태석,곽승용,조주령,김대현",소속위원회 변경,https://www.assembly.go.kr/members/22nd/CHUNHARAM,2025-08-11T07:27:25.000
최기상,더불어민주당,재선,서울 금천구,"기획재정위원회, 예산결산특별위원회","박희정,홍기돈","이경민,정혜인","박수환,손하은,서홍인,김하영,노민석",소속위원회 변경,https://www.assembly.go.kr/members/22nd/CHOIKISANG,2025-08-11T07:27:29.000
최은석,국민의힘,초선,대구 동구군위군갑,기획재정위원회,"박원진,오남택","남완우,윤용석","윤혜원,손동한,정현우,황지원,이권렬",보좌관 변경,https://www.assembly.go.kr/members/22nd/CHOIEUNSEOK,2025-08-11T07:27:20.000
황명선,더불어민주당,초선,충남 논산시계룡시금산군,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회","김홍일,전문학","유경희,정주영","천지현,이희정,임형돈,김재민,김유희",,https://www.assembly.go.kr/members/22nd/HWANGMYEONGSEON,2025-08-11T07:27:27.000
